PlayerID,LastName,FirstName,Bats,Pitches,Team,X7
keltk101,Keltner,Ken,R,R,BOS,3B
kinde101,Kinder,Ellis,R,R,BOS,P
littd102,Littlefield,Dick,L,L,BOS,P
marcp101,Marchildon,Phil,R,R,BOS,P
mastw101,Masterson,Walt,R,R,BOS,P
maxwc101,Maxwell,Charlie,L,L,BOS,OF
mcdem102,McDermott,Mickey,L,L,BOS,P
mcdoj104,McDonald,Jim,R,R,BOS,P
muelg101,Mueller,Gordie,R,R,BOS,P
nixow101,Nixon,Willard,L,R,BOS,P
obrit103,O'Brien,Tommy,R,R,BOS,OF
papaa101,Papai,Al,R,R,BOS,P
parnm101,Parnell,Mel,L,L,BOS,P
peskj101,Pesky,Johnny,L,R,BOS,3B
pierj102,Piersall,Jim,R,R,BOS,OF
quinf104,Quinn,Frank,R,R,BOS,P
rosab101,Rosar,Buddy,R,R,BOS,C
schac101,Schanz,Charley,R,R,BOS,P
scheb102,Scherbarth,Bob,R,R,BOS,C
stepv101,Stephens,Vern,R,R,BOS,SS
stobc101,Stobbs,Chuck,L,L,BOS,P
stril101,Stringer,Lou,R,R,BOS,3B
suchj101,Suchecki,Jim,R,R,BOS,P
taylh101,Taylor,Harry,R,R,BOS,P
tebbb101,Tebbetts,Birdie,R,R,BOS,C
vollc101,Vollmer,Clyde,R,R,BOS,OF
willt103,Williams,Ted,L,R,BOS,OF
wrigt101,Wright,Tom,L,R,BOS,OF
zaria101,Zarilla,Al,L,R,BOS,OF
abrac101,Abrams,Cal,L,L,BRO,OF
bankd101,Bankhead,Dan,R,R,BRO,P
bantj101,Banta,Jack,L,R,BRO,P
barnr103,Barney,Rex,R,R,BRO,P
belaw101,Belardi,Wayne,L,L,BRO,1B
branr103,Branca,Ralph,R,R,BRO,P
browt103,Brown,Tommy,R,R,BRO,OF
campr102,Campanella,Roy,R,R,BRO,C
cox-b101,Cox,Billy,R,R,BRO,3B
edwab101,Edwards,Bruce,R,R,BRO,C
eppea101,Epperly,Al,L,R,BRO,P
erskc101,Erskine,Carl,R,R,BRO,P
furic101,Furillo,Carl,R,R,BRO,OF
hattj101,Hatten,Joe,R,L,BRO,P
hermg101,Hermanski,Gene,L,R,BRO,OF
hodgg101,Hodges,Gil,R,R,BRO,1B
jorgs101,Jorgensen,Spider,L,R,BRO,3B
labic101,Labine,Clem,R,R,BRO,P
landj101,Landrum,Joe,R,R,BRO,P
lembs101,Lembo,Steve,R,R,BRO,C
loesb101,Loes,Billy,R,R,BRO,P
mallm101,Mallette,Mal,L,L,BRO,P
mcglp101,McGlothin,Pat,L,R,BRO,P
mikse101,Miksis,Eddie,R,R,BRO,2B
morgb102,Morgan,Bobby,R,R,BRO,3B
newcd101,Newcombe,Don,L,R,BRO,P
palie101,Palica,Erv,R,R,BRO,P
podbb101,Podbielan,Bud,R,R,BRO,P
ramsw101,Ramsdell,Willie,R,R,BRO,P
reesp101,Reese,Pee Wee,R,R,BRO,SS
robij103,Robinson,Jackie,R,R,BRO,2B
roe-p101,Roe,Preacher,R,L,BRO,P
romaj102,Romano,Jim,R,R,BRO,P
russj102,Russell,Jim,B,R,BRO,OF
shubg101,Shuba,George,L,R,BRO,OF
snidd101,Snider,Duke,L,R,BRO,OF
vancc101,Van Cuyk,Chris,L,L,BRO,P
addib101,Addis,Bob,L,R,BSN,OF
antoj103,Antonelli,Johnny,L,L,BSN,P
bickv101,Bickford,Vern,R,R,BSN,P
burrp101,Burris,Paul,R,R,BSN,C
chipb101,Chipman,Bob,L,L,BSN,P
coled103,Cole,Dave,R,R,BSN,P
coopw102,Cooper,Walker,R,R,BSN,C
crand102,Crandall,Del,R,R,BSN,C
donod101,Donovan,Dick,L,R,BSN,P
ellib103,Elliott,Bob,R,R,BSN,3B
gords101,Gordon,Sid,R,R,BSN,OF
haefm101,Haefner,Mickey,L,L,BSN,P
